call_id,account_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,reported_timezone,timezone_unreliable_flag
CALL0000001,ACC0011505,2026-07-15 15:36:22,AGT0000955,CMP0000015,OUTBOUND,VND0000013,NO_ANSWER,601,Asia/Dubai,true
CALL0000002,ACC0002025,2026-06-10 06:48:27,AGT0000853,CMP0000060,OUTBOUND,VND0000001,ANSWERED,224,Asia/Kolkata,true
CALL0000003,ACC0013375,2026-04-07 00:35:35,AGT0000525,CMP0000060,OUTBOUND,VND0000008,FAILED,7,Asia/Dubai,true
CALL0000004,ACC0021534,2026-02-12 14:16:57,AGT0000945,CMP0000060,OUTBOUND,VND0000001,VOICEMAIL,896,Asia/Dubai,true
CALL0000005,ACC0018502,2026-05-24 15:33:12,AGT0000966,CMP0000053,OUTBOUND,VND0000006,ANSWERED,711,Asia/Kolkata,true
CALL0000006,ACC0011855,2026-02-04 11:37:08,AGT0000864,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,18,Asia/Dubai,true
CALL0000007,ACC0027278,2026-02-10 10:59:05,AGT0000524,CMP0000001,OUTBOUND,VND0000009,VOICEMAIL,825,Asia/Kolkata,true
CALL0000008,ACC0007144,2026-06-14 23:37:56,AGT0000615,CMP0000115,OUTBOUND,VND0000003,VOICEMAIL,437,Asia/Dubai,true
CALL0000009,ACC0003902,2026-03-17 16:24:42,AGT0000585,CMP0000090,OUTBOUND,VND0000012,VOICEMAIL,318,UTC,true
CALL0000010,ACC0009188,2026-06-24 04:26:34,AGT0000238,CMP0000092,OUTBOUND,VND0000014,ANSWERED,260,UTC,true
CALL0000011,ACC0008811,2026-07-23 14:50:00,AGT0000071,CMP0000098,OUTBOUND,VND0000011,NO_ANSWER,115,Asia/Dubai,true
CALL0000012,ACC0012258,2026-02-12 20:40:45,AGT0000014,CMP0000107,INBOUND,VND0000008,BUSY,589,UTC,true
CALL0000013,ACC0014154,2026-05-30 17:57:19,AGT0000298,CMP0000074,INBOUND,VND0000012,VOICEMAIL,809,Asia/Dubai,true
CALL0000014,ACC0007396,2026-01-10 17:09:15,AGT0000992,CMP0000098,OUTBOUND,VND0000008,VOICEMAIL,536,Asia/Dubai,true
CALL0000015,ACC0003819,2026-06-13 22:35:10,AGT0000630,CMP0000028,OUTBOUND,VND0000007,FAILED,782,Asia/Dubai,true
CALL0000016,ACC0004194,2026-01-01 10:44:31,AGT0000270,CMP0000078,OUTBOUND,VND0000012,FAILED,479,UTC,true
CALL0000017,ACC0000324,2026-01-21 16:48:34,AGT0000198,CMP0000048,OUTBOUND,VND0000009,NO_ANSWER,772,Asia/Dubai,true
CALL0000018,ACC0000064,2026-04-28 11:02:01,AGT0000040,CMP0000068,OUTBOUND,VND0000003,FAILED,230,UTC,true
CALL0000019,ACC0021121,2026-01-05 08:28:07,AGT0000018,CMP0000033,OUTBOUND,VND0000013,VOICEMAIL,399,Asia/Kolkata,true
CALL0000020,ACC0017100,2026-04-26 16:31:37,AGT0000641,CMP0000108,OUTBOUND,VND0000012,BUSY,354,UTC,true
CALL0000021,ACC0028579,2026-02-14 04:38:51,AGT0000613,CMP0000009,OUTBOUND,VND0000001,VOICEMAIL,63,Asia/Kolkata,true
CALL0000022,ACC0009881,2026-08-05 05:55:16,AGT0000842,CMP0000019,OUTBOUND,VND0000001,VOICEMAIL,289,Asia/Kolkata,true
CALL0000023,ACC0005656,2026-07-11 16:42:23,AGT0000862,CMP0000096,OUTBOUND,VND0000007,NO_ANSWER,537,Asia/Kolkata,true
CALL0000024,ACC0020634,2026-08-04 17:24:59,AGT0000905,CMP0000076,INBOUND,VND0000005,VOICEMAIL,807,Asia/Dubai,true
CALL0000025,ACC0004249,2026-06-19 04:18:04,AGT0000638,CMP0000050,INBOUND,VND0000015,FAILED,519,Asia/Dubai,true
CALL0000026,ACC0002738,2026-04-08 22:43:02,AGT0000454,CMP0000104,OUTBOUND,VND0000003,ANSWERED,147,Asia/Dubai,true
CALL0000027,ACC0002663,2026-01-18 12:26:51,AGT0000841,CMP0000017,OUTBOUND,VND0000005,BUSY,453,Asia/Kolkata,true
CALL0000028,ACC0013665,2026-04-28 20:47:37,AGT0000018,CMP0000006,OUTBOUND,VND0000002,FAILED,659,Asia/Kolkata,true
CALL0000029,ACC0022130,2026-03-24 00:14:47,AGT0000865,CMP0000055,OUTBOUND,VND0000015,FAILED,46,Asia/Dubai,true
CALL0000030,ACC0015282,2026-06-18 19:24:12,AGT0000850,CMP0000089,OUTBOUND,VND0000008,FAILED,749,UTC,true
CALL0000031,ACC0029780,2026-02-09 19:57:02,AGT0000316,CMP0000001,OUTBOUND,VND0000010,BUSY,806,UTC,true
CALL0000032,ACC0010981,2026-03-29 20:46:57,AGT0000789,CMP0000074,OUTBOUND,VND0000005,FAILED,719,Asia/Kolkata,true
CALL0000033,ACC0020302,2026-04-26 20:30:26,AGT0000315,CMP0000046,OUTBOUND,VND0000013,VOICEMAIL,44,Asia/Dubai,true
CALL0000034,ACC0007010,2026-01-13 07:21:05,AGT0000489,CMP0000035,OUTBOUND,VND0000014,FAILED,335,Asia/Kolkata,true
CALL0000035,ACC0024768,2026-06-12 05:33:37,AGT0000268,CMP0000109,OUTBOUND,VND0000012,ANSWERED,827,Asia/Kolkata,true
CALL0000036,ACC0025120,2026-04-23 22:06:26,AGT0000515,CMP0000068,OUTBOUND,VND0000012,BUSY,737,Asia/Kolkata,true
CALL0000037,ACC0009696,2026-04-20 01:18:52,AGT0000787,CMP0000010,OUTBOUND,VND0000011,BUSY,47,Asia/Kolkata,true
CALL0000038,ACC0003044,2026-01-17 19:04:20,AGT0000059,CMP0000051,INBOUND,VND0000011,VOICEMAIL,487,UTC,true
CALL0000039,ACC0012935,2026-04-28 03:56:21,AGT0000613,CMP0000062,OUTBOUND,VND0000008,BUSY,681,Asia/Kolkata,true
CALL0000040,ACC0018788,2026-07-09 10:23:27,AGT0000172,CMP0000007,OUTBOUND,VND0000007,VOICEMAIL,299,UTC,true
CALL0000041,ACC0008263,2026-01-05 17:53:57,AGT0000108,CMP0000050,OUTBOUND,VND0000005,ANSWERED,298,Asia/Dubai,true
CALL0000042,ACC0001605,2026-06-20 19:03:46,AGT0000887,CMP0000055,OUTBOUND,VND0000005,FAILED,467,UTC,true
CALL0000043,ACC0023026,2026-03-05 03:21:54,AGT0000081,CMP0000011,OUTBOUND,VND0000002,NO_ANSWER,786,Asia/Dubai,true
CALL0000044,ACC0008487,2026-01-01 20:35:27,AGT0000271,CMP0000051,OUTBOUND,VND0000002,NO_ANSWER,353,Asia/Kolkata,true
CALL0000045,ACC0000606,2026-02-16 06:10:11,,CMP0000095,OUTBOUND,VND0000002,FAILED,156,Asia/Kolkata,true
CALL0000046,ACC0008985,2026-08-02 14:41:22,AGT0000578,CMP0000099,OUTBOUND,VND0000002,VOICEMAIL,263,Asia/Dubai,true
CALL0000047,ACC0004659,2026-03-31 09:36:09,AGT0000190,CMP0000014,OUTBOUND,VND0000007,FAILED,55,Asia/Kolkata,true
CALL0000048,ACC0012134,2026-02-07 04:04:49,AGT0000446,CMP0000072,OUTBOUND,VND0000004,ANSWERED,882,UTC,true
CALL0000049,ACC0016678,2026-05-05 04:32:55,AGT0000144,CMP0000062,OUTBOUND,VND0000001,NO_ANSWER,747,Asia/Kolkata,true
CALL0000050,ACC0025237,2026-04-24 23:15:21,AGT0000269,CMP0000020,OUTBOUND,VND0000004,ANSWERED,337,UTC,true
CALL0000051,ACC0027424,2026-05-21 03:10:57,AGT0000454,CMP0000031,OUTBOUND,VND0000002,VOICEMAIL,82,Asia/Dubai,true
CALL0000052,ACC0001834,2026-04-07 14:27:38,AGT0000360,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,706,Asia/Kolkata,true
CALL0000053,ACC0017503,2026-05-12 22:43:38,AGT0000301,CMP0000008,OUTBOUND,VND0000002,ANSWERED,848,Asia/Kolkata,true
CALL0000054,ACC0029981,2026-07-08 17:08:17,AGT0000755,CMP0000114,OUTBOUND,VND0000001,FAILED,582,Asia/Dubai,true
CALL0000055,ACC0017849,2026-05-25 00:30:29,AGT0000071,CMP0000051,INBOUND,VND0000015,ANSWERED,607,UTC,true
CALL0000056,ACC0008085,2026-05-06 18:18:42,AGT0000549,CMP0000087,OUTBOUND,VND0000008,ANSWERED,665,Asia/Kolkata,true
CALL0000057,ACC0016026,2026-04-11 19:47:42,AGT0000745,CMP0000074,INBOUND,VND0000009,NO_ANSWER,154,Asia/Dubai,true
CALL0000058,ACC0019088,2026-03-25 11:39:26,AGT0000127,CMP0000116,OUTBOUND,VND0000008,ANSWERED,867,UTC,true
CALL0000059,ACC0004837,2026-08-06 11:12:55,AGT0000536,CMP0000111,INBOUND,VND0000007,FAILED,597,UTC,true
CALL0000060,ACC0023992,2026-01-02 05:37:04,AGT0000942,CMP0000002,OUTBOUND,VND0000015,VOICEMAIL,416,UTC,true
CALL0000061,ACC0021451,2026-03-19 23:25:59,AGT0000592,CMP0000076,OUTBOUND,VND0000015,VOICEMAIL,470,UTC,true
CALL0000062,ACC0011818,2026-05-07 16:03:49,AGT0000539,CMP0000091,OUTBOUND,VND0000006,BUSY,131,Asia/Kolkata,true
CALL0000063,ACC0014378,2026-04-16 05:42:32,AGT0000121,CMP0000086,OUTBOUND,VND0000013,FAILED,221,Asia/Kolkata,true
CALL0000064,ACC0022018,2026-07-27 19:51:14,AGT0000325,CMP0000068,OUTBOUND,VND0000014,BUSY,841,Asia/Kolkata,true
CALL0000065,ACC0022731,2026-04-11 10:42:48,AGT0000409,CMP0000052,OUTBOUND,VND0000011,ANSWERED,135,UTC,true
CALL0000066,ACC0017255,2026-06-23 10:00:47,AGT0000350,CMP0000102,INBOUND,VND0000004,VOICEMAIL,374,Asia/Kolkata,true
CALL0000067,ACC0001545,2026-04-12 02:24:40,AGT0000495,CMP0000058,OUTBOUND,VND0000007,ANSWERED,153,UTC,true
