table,raw_rows,golden_rows,rejected_rows
borrowers,30600,30600,0
accounts,30000,30000,0
agents,30000,1000,29000
agent_sessions,15000,15000,0
campaigns,120,120,0
daily_targeting,45000,45000,0
calls,91350,90000,1350
call_attempts,120000,120000,0
call_dispositions,35000,35000,0
whatsapp_events,60600,60000,600
sms_events,45000,45000,0
field_visits,25000,25000,0
promises_to_pay,18000,18000,0
payments,25500,25000,500
vendor_telephony,15,15,0
complaints,8000,8000,0
account_status_history,60000,60000,0
